Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,semester
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,5,Negozi,OTTIMO, ,2700,4600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,5,Negozi,NORMALE,P,2100,2600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,6,Uffici,OTTIMO,P,2700,4300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,18,Uffici strutturati,OTTIMO,P,3500,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,10,Laboratori,NORMALE,P,1000,1400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,OTTIMO, ,6000,8200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,NORMALE,P,4200,5900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,13,Box,NORMALE,P,2000,3200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,9,Magazzini,NORMALE,P,650,1100,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,5,Negozi,NORMALE,P,2300,4500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,5,Negozi,OTTIMO, ,4600,6000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,6,Uffici,OTTIMO,P,2400,4300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,18,Uffici strutturati,OTTIMO,P,2900,4600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,10,Laboratori,NORMALE,P,1200,1800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,NORMALE,P,5500,7000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,OTTIMO, ,7100,10000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,19,Abitazioni signorili,OTTIMO,P,9600,12000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,19,Abitazioni signorili,NORMALE, ,7000,9500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,13,Box,NORMALE,P,2800,4000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,1,Ville e Villini,OTTIMO,P,6000,8200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,9,Magazzini,NORMALE,P,750,1200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,5,Negozi,OTTIMO, ,4600,6500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,5,Negozi,NORMALE,P,2800,4500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,6,Uffici,OTTIMO,P,3800,5700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,18,Uffici strutturati,OTTIMO,P,4100,6000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,10,Laboratori,NORMALE,P,950,1400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,20,Abitazioni civili,NORMALE,P,4500,5700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,20,Abitazioni civili,OTTIMO, ,5800,8500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,13,Box,NORMALE,P,2200,3300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,9,Magazzini,NORMALE,P,800,1400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,5,Negozi,NORMALE, ,2800,3900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,5,Negozi,OTTIMO,P,4000,6000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,6,Uffici,OTTIMO,P,2350,3900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,18,Uffici strutturati,OTTIMO,P,2650,4200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,10,Laboratori,NORMALE,P,1000,1500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,20,Abitazioni civili,NORMALE,P,4200,5900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,20,Abitazioni civili,OTTIMO, ,6000,7700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,13,Box,NORMALE,P,1600,2800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,9,Magazzini,NORMALE,P,750,1100,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,5,Negozi,NORMALE,P,2500,3500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,5,Negozi,OTTIMO, ,3600,4700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,6,Uffici,OTTIMO,P,2600,3500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,18,Uffici strutturati,OTTIMO,P,2800,3800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,10,Laboratori,NORMALE,P,950,1550,L,2024-2
